"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1675","User login with wrong email or password","LMS system","Sun Jan 18 13:23:19 UTC 2026","passed","Sun Jan 18 13:23:21 UTC 2026","Authorization","Authentication","",""
"","3459","test_edit_course[chromium]","LMS system","Sun Jan 18 13:23:27 UTC 2026","passed","Sun Jan 18 13:23:30 UTC 2026","Courses","Courses","",""
"","2295","User login with wrong email or password","LMS system","Sun Jan 18 13:23:16 UTC 2026","passed","Sun Jan 18 13:23:19 UTC 2026","Authorization","Authentication","",""
"","2477","Create course","LMS system","Sun Jan 18 13:23:26 UTC 2026","passed","Sun Jan 18 13:23:28 UTC 2026","Courses","Courses","",""
"","2280","Registration with correct email, username and password","LMS system","Sun Jan 18 13:23:21 UTC 2026","passed","Sun Jan 18 13:23:23 UTC 2026","Registration","Authentication","",""
"","2164","User login with wrong email or password","LMS system","Sun Jan 18 13:23:16 UTC 2026","passed","Sun Jan 18 13:23:18 UTC 2026","Authorization","Authentication","",""
"","2005","Check displaying of dashboard page","LMS system","Sun Jan 18 13:23:29 UTC 2026","passed","Sun Jan 18 13:23:31 UTC 2026","Dashboard","Dashboard","",""
"","1625","Check displaying of empty courses list","LMS system","Sun Jan 18 13:23:25 UTC 2026","passed","Sun Jan 18 13:23:27 UTC 2026","Courses","Courses","",""
"","3284","User login with correct email or password","LMS system","Sun Jan 18 13:23:19 UTC 2026","passed","Sun Jan 18 13:23:22 UTC 2026","Authorization","Authentication","",""
"","1","test_forgot_password_link","tests.pytest","Sun Jan 18 13:23:31 UTC 2026","passed","Sun Jan 18 13:23:31 UTC 2026","TestUserInterface","test_markers","",""
"","1614","Navigate from login page to registration page","LMS system","Sun Jan 18 13:23:22 UTC 2026","passed","Sun Jan 18 13:23:24 UTC 2026","Authorization","Authentication","",""
