"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1822","User login with wrong email or password","LMS system","Tue Jan 13 13:07:19 UTC 2026","passed","Tue Jan 13 13:07:21 UTC 2026","Authorization","Authentication","",""
"","3287","User login with correct email or password","LMS system","Tue Jan 13 13:07:19 UTC 2026","passed","Tue Jan 13 13:07:22 UTC 2026","Authorization","Authentication","",""
"","1894","Check displaying of dashboard page","LMS system","Tue Jan 13 13:07:29 UTC 2026","passed","Tue Jan 13 13:07:31 UTC 2026","Dashboard","Dashboard","",""
"","1631","Check displaying of empty courses list","LMS system","Tue Jan 13 13:07:25 UTC 2026","passed","Tue Jan 13 13:07:27 UTC 2026","Courses","Courses","",""
"","3147","test_edit_course[chromium]","LMS system","Tue Jan 13 13:07:27 UTC 2026","passed","Tue Jan 13 13:07:30 UTC 2026","Courses","Courses","",""
"","1675","Navigate from login page to registration page","LMS system","Tue Jan 13 13:07:23 UTC 2026","passed","Tue Jan 13 13:07:24 UTC 2026","Authorization","Authentication","",""
"","2049","Registration with correct email, username and password","LMS system","Tue Jan 13 13:07:21 UTC 2026","passed","Tue Jan 13 13:07:23 UTC 2026","Registration","Authentication","",""
"","2114","User login with wrong email or password","LMS system","Tue Jan 13 13:07:17 UTC 2026","passed","Tue Jan 13 13:07:19 UTC 2026","Authorization","Authentication","",""
"","2490","Create course","LMS system","Tue Jan 13 13:07:26 UTC 2026","passed","Tue Jan 13 13:07:29 UTC 2026","Courses","Courses","",""
"","2114","User login with wrong email or password","LMS system","Tue Jan 13 13:07:17 UTC 2026","passed","Tue Jan 13 13:07:19 UTC 2026","Authorization","Authentication","",""
"","0","test_forgot_password_link","tests.pytest","Tue Jan 13 13:07:30 UTC 2026","passed","Tue Jan 13 13:07:30 UTC 2026","TestUserInterface","test_markers","",""
