"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2063","Registration with correct email, username and password","LMS system","Tue Jan 20 08:39:54 UTC 2026","passed","Tue Jan 20 08:39:56 UTC 2026","Registration","Authentication","",""
"","3384","test_edit_course[chromium]","LMS system","Tue Jan 20 08:40:00 UTC 2026","passed","Tue Jan 20 08:40:03 UTC 2026","Courses","Courses","",""
"","2219","User login with wrong email or password","LMS system","Tue Jan 20 08:39:49 UTC 2026","passed","Tue Jan 20 08:39:51 UTC 2026","Authorization","Authentication","",""
"","2051","User login with wrong email or password","LMS system","Tue Jan 20 08:39:49 UTC 2026","passed","Tue Jan 20 08:39:51 UTC 2026","Authorization","Authentication","",""
"","1702","Check displaying of empty courses list","LMS system","Tue Jan 20 08:39:58 UTC 2026","passed","Tue Jan 20 08:39:59 UTC 2026","Courses","Courses","",""
"","3026","Create course","LMS system","Tue Jan 20 08:39:59 UTC 2026","passed","Tue Jan 20 08:40:02 UTC 2026","Courses","Courses","",""
"","2013","Check displaying of dashboard page","LMS system","Tue Jan 20 08:40:02 UTC 2026","passed","Tue Jan 20 08:40:04 UTC 2026","Dashboard","Dashboard","",""
"","1606","Navigate from login page to registration page","LMS system","Tue Jan 20 08:39:55 UTC 2026","passed","Tue Jan 20 08:39:57 UTC 2026","Authorization","Authentication","",""
"","3499","User login with correct email or password","LMS system","Tue Jan 20 08:39:51 UTC 2026","passed","Tue Jan 20 08:39:55 UTC 2026","Authorization","Authentication","",""
"","1876","User login with wrong email or password","LMS system","Tue Jan 20 08:39:52 UTC 2026","passed","Tue Jan 20 08:39:53 UTC 2026","Authorization","Authentication","",""
