"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2005","User login with wrong email or password","LMS system","Sun Jan 18 13:28:19 UTC 2026","passed","Sun Jan 18 13:28:21 UTC 2026","Authorization","Authentication","",""
"","3342","User login with correct email or password","LMS system","Sun Jan 18 13:28:22 UTC 2026","passed","Sun Jan 18 13:28:25 UTC 2026","Authorization","Authentication","",""
"","2263","Create course","LMS system","Sun Jan 18 13:28:29 UTC 2026","passed","Sun Jan 18 13:28:31 UTC 2026","Courses","Courses","",""
"","1989","User login with wrong email or password","LMS system","Sun Jan 18 13:28:22 UTC 2026","passed","Sun Jan 18 13:28:24 UTC 2026","Authorization","Authentication","",""
"","1573","Navigate from login page to registration page","LMS system","Sun Jan 18 13:28:24 UTC 2026","passed","Sun Jan 18 13:28:26 UTC 2026","Authorization","Authentication","",""
"","1973","User login with wrong email or password","LMS system","Sun Jan 18 13:28:19 UTC 2026","passed","Sun Jan 18 13:28:21 UTC 2026","Authorization","Authentication","",""
"","3314","test_edit_course[chromium]","LMS system","Sun Jan 18 13:28:29 UTC 2026","passed","Sun Jan 18 13:28:33 UTC 2026","Courses","Courses","",""
"","1576","Check displaying of empty courses list","LMS system","Sun Jan 18 13:28:27 UTC 2026","passed","Sun Jan 18 13:28:29 UTC 2026","Courses","Courses","",""
"","1","test_forgot_password_link","tests.pytest","Sun Jan 18 13:28:33 UTC 2026","passed","Sun Jan 18 13:28:33 UTC 2026","TestUserInterface","test_markers","",""
"","1810","Check displaying of dashboard page","LMS system","Sun Jan 18 13:28:32 UTC 2026","passed","Sun Jan 18 13:28:33 UTC 2026","Dashboard","Dashboard","",""
"","1736","Registration with correct email, username and password","LMS system","Sun Jan 18 13:28:25 UTC 2026","passed","Sun Jan 18 13:28:27 UTC 2026","Registration","Authentication","",""
